range,payload,cost
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
10,5,3470.200439
18.39581871,60,7361.351074
10,5,3470.200439
18.39581871,60,7361.351074
10,5,3470.200439
18.39581871,60,7361.351074
10,5,3470.200439
18.39581871,60,7361.351074
10,5,3470.200439
18.39581871,60,7361.351074
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
10,5,3470.200439
18.39581871,60,7361.351074
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
10,5,3470.200439
18.39581871,60,7361.351074
10,5,3470.200439
18.39581871,60,7361.351074
10,5,3470.200439
18.39581871,60,7361.351074
10,5,3470.200439
18.39581871,60,7361.351074
10,5,3470.200439
18.39581871,60,7361.351074
10,5,3470.200439
18.39581871,60,7361.351074
10,5,3470.200439
18.39581871,60,7361.351074
10,5,3470.200439
18.39581871,60,7361.351074
10,5,3470.200439
18.39581871,60,7361.351074
10,5,3470.200439
18.39581871,60,7361.351074
10,5,3470.200439
18.39581871,60,7361.351074
10,5,3470.200439
18.39581871,60,7361.351074
11.21867847,20,4284.958984
19.17332458,5,4284.95459
10,5,3470.200439
20.32730484,10,5150.19873
20.32730484,10,5150.19873
11.21867847,20,4284.958984
11.21867847,20,4284.958984
20.32730484,10,5150.19873
20.32730484,10,5150.19873
11.21867847,20,4284.958984
11.21867847,20,4284.958984
11.21867847,20,4284.958984
20.32730484,10,5150.19873
23.89169884,6,5516.050293
20.32730484,10,5150.19873
11.21867847,20,4284.958984
11.21867847,20,4284.958984
20.32730484,10,5150.19873
30.0741539,6,5084.512207
19.17332458,5,4284.95459
19.17332458,5,4284.95459
19.17332458,5,4284.95459
11.21867847,20,4284.958984
19.17332458,5,4284.95459
19.17332458,5,4284.95459
11.21867847,20,4284.958984
11.21867847,20,4284.958984
30.0741539,6,5084.512207
30.0741539,6,5084.512207
11.21867847,20,4284.958984
30.0741539,6,5084.512207
20.32730484,10,5150.19873
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
18.39581871,60,7361.351074
10,5,3470.200439
18.39581871,60,7361.351074
10,5,3470.200439
18.39581871,60,7361.351074
8.396873474,53,5156.891113
16.6061058,80,9496.889648
8.396873474,53,5156.891113
16.6061058,80,9496.889648
18.39581871,60,7361.351074
8.396873474,53,5156.891113
37.36566925,5,6690.624023
1.134095073,5,3988.873779
1.134095073,5,3988.873779
37.36566925,5,6690.624023
24.62442017,40,8094.827148
14.0552063,30,5437.668457
24.62442017,40,8094.827148
24.62442017,40,8094.827148
45.69306946,5,6270.198242
45.69306946,5,6270.198242
14.0552063,30,5437.668457
19.3449173,60,7830.40332
45.69306946,5,6270.198242
24.62442017,40,8094.827148
19.3449173,60,7830.40332
19.3449173,60,7830.40332
14.0552063,30,5437.668457
19.3449173,60,7830.40332
5.537545681,15,6826.038574
24.62442017,40,8094.827148
14.0552063,30,5437.668457
24.62442017,40,8094.827148
14.0552063,30,5437.668457
24.62442017,40,8094.827148
14.0552063,30,5437.668457
5.537545681,15,6826.038574
24.62442017,40,8094.827148
5.537545681,15,6826.038574
5.537545681,15,6826.038574
19.97704697,50,6918.180176
18.37432671,60,7361.351074
18.51418304,80,8469.941406
14.0552063,30,5437.668457
18.51418304,80,8469.941406
14.0552063,30,5437.668457
18.51418304,80,8469.941406
14.0552063,30,5437.668457
18.51418304,80,8469.941406
14.0552063,30,5437.668457
19.97704697,50,6918.180176
18.37432671,60,7361.351074
19.97704697,50,6918.180176
18.37432671,60,7361.351074
19.97704697,50,6918.180176
16.85012245,50,6523.011719
19.97704697,50,6918.180176
16.85012245,50,6523.011719
16.85012245,50,6523.011719
24.62442017,40,8094.827148
19.97704697,50,6918.180176
16.85012245,50,6523.011719
14.0552063,30,5437.668457
32.10738754,40,8335.244141
14.0552063,30,5437.668457
29.86203766,40,8299.34082
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
9.186551094,12,2934.171631
9.186551094,12,2934.171631
9.186551094,12,2934.171631
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
50.41148376,5,6340.180176
50.41148376,5,6340.180176
51.35989761,5,6553.562012
50.41148376,5,6340.180176
50.41148376,5,6340.180176
51.35989761,5,6553.562012
50.41148376,5,6340.180176
59.66614914,5,7669.691406
50.41148376,5,6340.180176
59.66614914,5,7669.691406
50.41148376,5,6340.180176
50.41148376,5,6340.180176
50.41148376,5,6340.180176
9.771212578,5,3679.574219
50.41148376,5,6340.180176
9.771212578,5,3679.574219
7.728058815,5,4145.700195
22.29216957,5,3591.67041
22.29216957,5,3591.67041
22.29216957,5,3591.67041
7.728058815,5,4145.700195
22.29216957,5,3591.67041
22.29216957,5,3591.67041
50.41148376,5,6340.180176
22.29216957,5,3591.67041
22.29216957,5,3591.67041
9.771212578,5,3679.574219
9.771212578,5,3679.574219
31.47830009,25,6340.179688
31.47830009,25,6340.179688
31.47830009,25,6340.179688
22.29216957,5,3591.67041
22.29216957,5,3591.67041
22.29216957,5,3591.67041
22.29216957,5,3591.67041
22.29216957,5,3591.67041
22.29216957,5,3591.67041
22.29216957,5,3591.67041
22.29216957,5,3591.67041
22.29216957,5,3591.67041
9.747408867,20,3591.671875
9.747408867,20,3591.671875
31.47830009,25,6340.179688
9.747408867,20,3591.671875
31.47830009,25,6340.179688
9.747408867,20,3591.671875
9.747408867,20,3591.671875
48.47856522,10,7465.825684
9.747408867,20,3591.671875
29.66911316,27,6340.179688
29.66911316,27,6340.179688
29.66911316,27,6340.179688
29.66911316,27,6340.179688
29.66911316,27,6340.179688
29.66911316,27,6340.179688
31.47830009,25,6340.179688
29.66911316,27,6340.179688
48.47856522,10,7465.825684
48.47856522,10,7465.825684
29.66911316,27,6340.179688
29.66911316,27,6340.179688
9.747408867,20,3591.671875
9.747408867,20,3591.671875
48.47856522,10,7465.825684
48.47856522,10,7465.825684
48.47856522,10,7465.825684
48.47856522,10,7465.825684
31.47830009,25,6340.179688
9.747408867,20,3591.671875
9.747408867,20,3591.671875
31.47830009,25,6340.179688
9.747408867,20,3591.671875
9.747408867,20,3591.671875
31.47830009,25,6340.179688
9.747408867,20,3591.671875
9.747408867,20,3591.671875
31.47830009,25,6340.179688
9.747408867,20,3591.671875
9.747408867,20,3591.671875
31.47830009,25,6340.179688
9.747408867,20,3591.671875
9.747408867,20,3591.671875
31.47830009,25,6340.179688
31.47830009,25,6340.179688
9.747408867,20,3591.671875
9.747408867,20,3591.671875
31.47830009,25,6340.179688
9.747408867,20,3591.671875
9.747408867,20,3591.671875
31.47830009,25,6340.179688
9.747408867,20,3591.671875
9.747408867,20,3591.671875
48.47856522,10,7465.825684
48.47856522,10,7465.825684
31.47830009,25,6340.179688
31.47830009,25,6340.179688
48.47856522,10,7465.825684
48.47856522,10,7465.825684
9.747408867,20,3591.671875
9.747408867,20,3591.671875
9.747408867,20,3591.671875
9.747408867,20,3591.671875
48.47856522,10,7465.825684
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
9.641415596,31,4159.263184
9.641415596,31,4159.263184
9.641415596,31,4159.263184
9.641521454,31,4159.263184
10,5,3470.200439
12.06321907,34,4610.435547
9.641521454,31,4159.263184
10,5,3470.200439
12.06321907,34,4610.435547
12.06321907,34,4610.435547
10,5,3470.200439
9.641521454,31,4159.263184
12.06321907,34,4610.435547
25.23828697,51,8521.591797
25.23828697,51,8521.591797
12.06321907,34,4610.435547
12.06321907,34,4610.435547
12.06321907,34,4610.435547
5.014784336,28,3445.277588
5.014784336,28,3445.277588
5.014784336,28,3445.277588
5.014784336,28,3445.277588
24.8947773,30,6894.200195
12.06321907,34,4610.435547
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
16.6061058,80,9496.889648
16.6061058,80,9496.889648
18.39581871,60,7361.351074
18.39581871,60,7361.351074
10,5,3470.200439
16.6061058,80,9496.889648
8.396873474,53,5156.891113
16.6061058,80,9496.889648
18.39581871,60,7361.351074
10,5,3470.200439
16.6061058,80,9496.889648
18.39581871,60,7361.351074
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
10,5,3470.200439
16.6061058,80,9496.889648
24.80543518,45,7872.57666
4.340017796,80,5437.668457
18.39581871,60,7361.351074
18.39581871,60,7361.351074
10,5,3470.200439
16.6061058,80,9496.889648
8.396873474,53,5156.891113
4.340017796,80,5437.668457
4.340017796,80,5437.668457
4.340017796,80,5437.668457
4.340017796,80,5437.668457
10,5,3470.200439
4.340017796,80,5437.668457
10,5,3470.200439
16.6061058,80,9496.889648
18.39581871,60,7361.351074
8.396873474,53,5156.891113
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
9.186551094,12,2934.171631
9.186551094,12,2934.171631
9.186551094,12,2934.171631
9.186551094,12,2934.171631
9.186551094,12,2934.171631
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
9.186551094,12,2934.171631
9.186551094,12,2934.171631
8.29061985,16,2939.949463
8.29061985,16,2939.949463
9.186551094,12,2934.171631
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
9.186551094,12,2934.171631
9.186551094,12,2934.171631
9.186551094,12,2934.171631
9.186551094,12,2934.171631
8.29061985,16,2939.949463
8.29061985,16,2939.949463
9.186551094,12,2934.171631
8.29061985,16,2939.949463
9.186551094,12,2934.171631
8.29061985,16,2939.949463
9.186551094,12,2934.171631
9.186551094,12,2934.171631
9.186551094,12,2934.171631
9.186551094,12,2934.171631
9.186551094,12,2934.171631
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
5.936053276,65,5278.418457
5.936053276,65,5278.418457
5.936053276,65,5278.418457
5.936053276,65,5278.418457
5.936053276,65,5278.418457
5.936053276,65,5278.418457
5.936053276,65,5278.418457
5.936053276,65,5278.418457
5.936053276,65,5278.418457
5.936053276,65,5278.418457
5.936053276,65,5278.418457
10.10049725,75,6438.810059
10.10049725,75,6438.810059
10.10049725,75,6438.810059
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
14.08566475,56,6363.762207
14.08566475,56,6363.762207
14.08566475,56,6363.762207
14.08566475,56,6363.762207
16.22093201,65,6598.986328
16.22093201,65,6598.986328
13.84058094,72,7140.430176
13.84058094,72,7140.430176
13.84058094,72,7140.430176
13.84058094,72,7140.430176
19.35118103,65,7763.019043
16.66935921,65,6790.518066
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
19.35118103,65,7763.019043
13.84058094,72,7140.430176
10,5,3470.200439
19.35118103,65,7763.019043
10,5,3470.200439
19.35118103,65,7763.019043
10,5,3470.200439
10,5,3470.200439
16.66935921,65,6790.518066
19.35118103,65,7763.019043
16.66935921,65,6790.518066
19.35118103,65,7763.019043
16.66935921,65,6790.518066
19.35118103,65,7763.019043
19.35118103,65,7763.019043
20.39814758,42,6953.370605
19.35118103,65,7763.019043
13.84058094,72,7140.430176
16.66935921,65,6790.518066
16.66935921,65,6790.518066
13.84058094,72,7140.430176
13.84058094,72,7140.430176
29.15743256,35,7713.327148
20.39814758,42,6953.370605
25.38798714,32,7236.024902
25.38798714,32,7236.024902
25.38798714,32,7236.024902
29.15743256,35,7713.327148
16.8315506,54,6538.203613
16.8315506,54,6538.203613
25.38798714,32,7236.024902
25.38798714,32,7236.024902
12.20376968,32,4494.881836
12.20376968,32,4494.881836
17.67876816,5,4482.366211
17.67876816,5,4482.366211
10,5,3470.200439
9.073893547,32,4159.263184
17.67876816,5,4482.366211
12.0929718,20,5095.650391
10,5,3470.200439
9.073893547,32,4159.263184
17.67876816,5,4482.366211
12.0929718,20,5095.650391
10,5,3470.200439
9.073893547,32,4159.263184
17.67876816,5,4482.366211
12.0929718,20,5095.650391
10,5,3470.200439
9.073893547,32,4159.263184
17.67876816,5,4482.366211
12.0929718,20,5095.650391
10,5,3470.200439
9.073893547,32,4159.263184
17.67876816,5,4482.366211
12.0929718,20,5095.650391
10,5,3470.200439
9.073893547,32,4159.263184
17.67876816,5,4482.366211
12.0929718,20,5095.650391
20.51828766,45,6966.183594
14.00779343,5,3790.602539
10,5,3470.200439
9.102334023,79,6547.679199
14.00779343,5,3790.602539
10,5,3470.200439
9.102334023,79,6547.679199
11.01992512,61,5948.388184
9.102334023,79,6547.679199
11.01992512,61,5948.388184
29.3110218,45,6494.768555
27.13824844,45,6470.102051
29.3110218,45,6494.768555
28.97733116,40,8330.667969
50.41148376,5,6340.180176
7.728058815,5,4145.700195
7.728058815,5,4145.700195
50.41148376,5,6340.180176
50.41148376,5,6340.180176
51.35989761,5,6553.562012
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
50.41148376,5,6340.180176
51.35989761,5,6553.562012
9.771212578,5,3679.574219
50.41148376,5,6340.180176
9.771212578,5,3679.574219
7.728058815,5,4145.700195
22.29216957,5,3591.67041
22.29216957,5,3591.67041
22.29216957,5,3591.67041
22.29216957,5,3591.67041
31.47830009,25,6340.179688
22.29216957,5,3591.67041
22.29216957,5,3591.67041
50.41148376,5,6340.180176
22.29216957,5,3591.67041
22.29216957,5,3591.67041
48.47856522,10,7465.825684
9.747408867,20,3591.671875
22.29216957,5,3591.67041
9.747408867,20,3591.671875
9.747408867,20,3591.671875
9.747408867,20,3591.671875
9.747408867,20,3591.671875
29.66911316,27,6340.179688
9.747408867,20,3591.671875
9.747408867,20,3591.671875
48.47856522,10,7465.825684
9.747408867,20,3591.671875
22.29216957,5,3591.67041
48.47856522,10,7465.825684
9.747408867,20,3591.671875
9.747408867,20,3591.671875
48.47856522,10,7465.825684
9.747408867,20,3591.671875
7.728058815,5,4145.700195
48.47856522,10,7465.825684
9.747408867,20,3591.671875
22.29216957,5,3591.67041
9.641521454,31,4159.263184
10,5,3470.200439
12.06321907,34,4610.435547
9.641521454,31,4159.263184
10,5,3470.200439
12.06321907,34,4610.435547
9.641521454,31,4159.263184
10,5,3470.200439
12.06321907,34,4610.435547
9.641521454,31,4159.263184
10,5,3470.200439
12.06321907,34,4610.435547
25.23828697,51,8521.591797
9.641521454,31,4159.263184
17.19768143,62,7353.812988
17.19768143,62,7353.812988
17.19768143,62,7353.812988
17.19768143,62,7353.812988
14.0552063,30,5437.668457
24.62442017,40,8094.827148
19.3449173,60,7830.40332
45.69306946,5,6270.198242
19.3449173,60,7830.40332
14.0552063,30,5437.668457
24.62442017,40,8094.827148
5.537545681,15,6826.038574
24.62442017,40,8094.827148
14.0552063,30,5437.668457
19.97704697,50,6918.180176
24.62442017,40,8094.827148
18.37432671,60,7361.351074
18.51418304,80,8469.941406
18.37432671,60,7361.351074
18.37432671,60,7361.351074
19.97704697,50,6918.180176
18.37432671,60,7361.351074
19.97704697,50,6918.180176
18.37432671,60,7361.351074
19.97704697,50,6918.180176
18.37432671,60,7361.351074
19.97704697,50,6918.180176
18.37432671,60,7361.351074
18.37432671,60,7361.351074
16.85012245,50,6523.011719
16.85012245,50,6523.011719
18.51418304,80,8469.941406
16.85012245,50,6523.011719
16.85012245,50,6523.011719
16.85012245,50,6523.011719
19.97704697,50,6918.180176
14.0552063,30,5437.668457
32.10738754,40,8335.244141
14.0552063,30,5437.668457
29.86203766,40,8299.34082
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
24.17382813,34,7472.48584
24.17382813,34,7472.48584
17.19768143,62,7353.812988
24.8947773,30,6894.200195
17.19768143,62,7353.812988
24.8947773,30,6894.200195
17.19768143,62,7353.812988
24.8947773,30,6894.200195
9.641521454,31,4159.263184
9.641521454,31,4159.263184
9.641521454,31,4159.263184
10.53382015,5,1920.538086
24.8947773,30,6894.200195
17.19768143,62,7353.812988
24.8947773,30,6894.200195
24.8947773,30,6894.200195
24.8947773,30,6894.200195
24.17382813,34,7472.48584
12.06321907,34,4610.435547
16.65633583,76,8678.96875
10.53382015,5,1920.538086
12.06321907,34,4610.435547
16.65633583,76,8678.96875
24.8947773,30,6894.200195
17.19768143,62,7353.812988
24.8947773,30,6894.200195
17.19768143,62,7353.812988
24.8947773,30,6894.200195
24.8947773,30,6894.200195
24.17382813,34,7472.48584
24.17382813,34,7472.48584
24.17382813,34,7472.48584
17.19768143,62,7353.812988
24.17382813,34,7472.48584
25.23828697,51,8521.591797
24.17382813,34,7472.48584
24.17382813,34,7472.48584
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
10,5,3470.200439
10,5,3470.200439
9.999290466,5,3470.199951
9.999290466,5,3470.199951
9.999290466,5,3470.199951
24.8947773,30,6894.200195
24.8947773,30,6894.200195
24.17382813,34,7472.48584
24.17382813,34,7472.48584
16.65633583,76,8678.96875
12.06321907,34,4610.435547
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
10,5,3470.200439
12.13942242,41,5188.440918
14.07110596,32,4738.141113
17.44624329,32,5102.926758
10,5,3470.200439
12.13942242,41,5188.440918
14.07110596,32,4738.141113
17.44624329,32,5102.926758
10,5,3470.200439
12.13942242,41,5188.440918
14.07110596,32,4738.141113
17.44624329,32,5102.926758
10,5,3470.200439
12.13942242,41,5188.440918
14.07110596,32,4738.141113
17.44624329,32,5102.926758
17.44624329,32,5102.926758
14.07110596,32,4738.141113
12.13942242,41,5188.440918
10,5,3470.200439
19.0844326,31,5243.392578
27.60785294,20,5243.392578
10,5,3470.200439
17.44624329,32,5102.926758
12.13942242,41,5188.440918
10,5,3470.200439
19.0844326,31,5243.392578
16.61073685,51,6523.012695
17.44624329,32,5102.926758
12.13942242,41,5188.440918
10,5,3470.200439
17.44624329,32,5102.926758
14.07110596,32,4738.141113
27.60785294,20,5243.392578
12.13942242,41,5188.440918
10,5,3470.200439
27.62350655,20,5243.392578
16.61073685,51,6523.012695
10,5,3470.200439
17.07190895,5,3630.401367
10,5,3470.200439
17.07190895,5,3630.401367
17.07190895,5,3630.401367
17.07190895,5,3630.401367
5.004795551,44,4274.816406
5.004795551,44,4274.816406
5.004795551,44,4274.816406
5.004795551,44,4274.816406
5.004795551,44,4274.816406
5.004795551,44,4274.816406
5.004795551,44,4274.816406
5.004795551,44,4274.816406
5.004795551,44,4274.816406
5.004795551,44,4274.816406
5.004795551,44,4274.816406
5.004795551,44,4274.816406
17.07190895,5,3630.401367
17.07190895,5,3630.401367
15.31851006,20,7828.875977
12.76170921,20,4586.816406
16.06564903,60,6942.846191
15.31851006,20,7828.875977
12.76170921,20,4586.816406
16.06564903,60,6942.846191
17.07190895,5,3630.401367
17.07190895,5,3630.401367
15.31851006,20,7828.875977
15.31851006,20,7828.875977
9.102334023,79,6547.679199
